scientificName,decimalLatitude,decimalLongitude
Berberis chochoco Schltdl.,24.68492541,-98.81925767
Berberis chochoco Schltdl.,24.525,-98.958333
Berberis chochoco Schltdl.,24.641667,-98.708333
Berberis chochoco Schltdl.,24.725,-98.908333
Berberis chochoco Schltdl.,24.691667,-99.008333
Berberis chochoco Schltdl.,21.163786,-99.693075
Mahonia chochoco (Schltdl.) Fedde,24.62,-98.87
Mahonia chochoco (Schltdl.) Fedde,22.97,-98.98
Mahonia chochoco (Schltdl.) Fedde,22.21666,-100.26666
Mahonia chochoco (Schltdl.) Fedde,24.53,-98.9
Berberis moranensis Schult. & Schult.fil.,19.305815,-99.303274
Berberis moranensis Schult. & Schult.fil.,19.248192,-99.257355
Berberis moranensis Schult. & Schult.fil.,19.247488,-98.537621
Berberis moranensis Schult. & Schult.fil.,17.276154,-96.369716
Berberis moranensis Schult. & Schult.fil.,19.341048,-98.760995
Berberis moranensis Schult. & Schult.fil.,20.047039,-103.692669
Berberis moranensis Schult. & Schult.fil.,19.592116,-99.354741
Berberis moranensis Schult. & Schult.fil.,19.430179,-98.771281
Berberis moranensis Schult. & Schult.fil.,19.657436,-99.511902
Berberis moranensis Schult. & Schult.fil.,19.465987,-99.289953
Berberis moranensis Schult. & Schult.fil.,25.602856,-106.971827
Berberis moranensis Schult. & Schult.fil.,20.073274,-99.901355
Berberis moranensis Schult. & Schult.fil.,19.555397,-101.260558
Berberis moranensis Schult. & Schult.fil.,19.55555,-101.260119
Berberis moranensis Schult. & Schult.fil.,19.251423,-100.011403
Berberis moranensis Schult. & Schult.fil.,19.310739,-99.313389
Berberis moranensis Schult. & Schult.fil.,19.312542,-99.313225
Berberis moranensis Schult. & Schult.fil.,19.253539,-99.244842
Berberis moranensis Schult. & Schult.fil.,19.055875,-99.320148
Berberis moranensis Schult. & Schult.fil.,19.529666,-99.424422
Berberis moranensis Schult. & Schult.fil.,19.660849,-101.143104
Berberis moranensis Schult. & Schult.fil.,19.591101,-99.079091
Berberis moranensis Schult. & Schult.fil.,19.522683,-101.638817
Berberis moranensis Schult. & Schult.fil.,19.315681,-98.733253
Berberis moranensis Schult. & Schult.fil.,19.379826,-98.248373
Berberis moranensis Schult. & Schult.fil.,20.189328,-98.704178
Berberis moranensis Schult. & Schult.fil.,19.246179,-99.254033
Berberis moranensis Schult. & Schult.fil.,19.36006,-98.676213
Berberis moranensis Schult. & Schult.fil.,19.640765,-101.13297
Berberis moranensis Schult. & Schult.fil.,19.666334,-101.13804
Berberis moranensis Schult. & Schult.fil.,19.913669,-99.497565
Berberis moranensis Schult. & Schult.fil.,19.158014,-99.87978
Berberis moranensis Schult. & Schult.fil.,19.148945,-99.896984
Berberis moranensis Schult. & Schult.fil.,19.60686,-100.218
Berberis moranensis Schult. & Schult.fil.,19.033,-99.3
Berberis moranensis Schult. & Schult.fil.,19.30583,-99.31056
Berberis moranensis Schult. & Schult.fil.,19.55825,-100.351
Berberis moranensis Schult. & Schult.fil.,19.017,-99.367
Berberis moranensis Schult. & Schult.fil.,19.05028,-99.31278
Berberis moranensis Schult. & Schult.fil.,21.148,-101.19292
Berberis moranensis Schult. & Schult.fil.,27.333,-108.663
Berberis moranensis Schult. & Schult.fil.,21.483,-104.9
Berberis moranensis Schult. & Schult.fil.,22.333,-104.9
Berberis moranensis Schult. & Schult.fil.,19.34778,-100.07611
Berberis moranensis Schult. & Schult.fil.,19.30583,-99.3106
Berberis moranensis Schult. & Schult.fil.,19.10392,-100.12311
Berberis moranensis Schult. & Schult.fil.,19.41306,-100.14111
Berberis moranensis Schult. & Schult.fil.,19.417,-102.233
Berberis moranensis Schult. & Schult.fil.,17.72694,-97.93694
Berberis moranensis Schult. & Schult.fil.,19.42047,-99.44875
Berberis moranensis Schult. & Schult.fil.,19.104,-99.202
Berberis moranensis Schult. & Schult.fil.,17.25,-97.83333
Berberis moranensis Schult. & Schult.fil.,28.09167,-108.917
Berberis moranensis Schult. & Schult.fil.,19.570589,-99.287955
Berberis moranensis Schult. & Schult.fil.,19.451701,-98.780136
Berberis moranensis Schult. & Schult.fil.,19.446367,-98.77247
Berberis moranensis Schult. & Schult.fil.,19.290989,-99.945775
Berberis moranensis Schult. & Schult.fil.,19.370103,-98.247413
Berberis moranensis Schult. & Schult.fil.,19.450505,-98.592811
Berberis moranensis Schult. & Schult.fil.,19.379726,-98.248401
Berberis moranensis Schult. & Schult.fil.,19.590617,-99.078007
Berberis moranensis Schult. & Schult.fil.,19.481628,-98.61633
